DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;TOTAL
2018;10 Octubre;P;ENSEÑANZA.;EL ORO;25
2018;09 Septiembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;MANABI;142
2018;05 Mayo;C;INDUSTRIAS MANUFACTURERAS.;EL ORO;22
2018;01 Enero;P;ENSEÑANZA.;EL ORO;23
2018;07 Julio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTA ELENA;183
2018;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;15
2018;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;SANTO DOMINGO DE LOS TSACHILAS;28
2018;07 Julio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;821
2018;08 Agosto;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;3798
2018;08 Agosto;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";SANTO DOMINGO DE LOS TSACHILAS;172
2018;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;57
2018;09 Septiembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;EL ORO;26
2018;10 Octubre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;36
2018;10 Octubre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;SANTO DOMINGO DE LOS TSACHILAS;8
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;46
2018;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;NAPO;204
2018;07 Julio;P;ENSEÑANZA.;TUNGURAHUA;95
2018;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOJA;148
2018;06 Junio;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;14
2018;12 Diciembre;F;CONSTRUCCIÓN.;EL ORO;41
2018;08 Agosto;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";GALAPAGOS;99
2018;07 Julio;C;INDUSTRIAS MANUFACTURERAS.;MANABI;741
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;36
2018;04 Abril;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GUAYAS;48
2018;05 Mayo;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;EL ORO;16
2018;07 Julio;L;ACTIVIDADES INMOBILIARIAS.;ORELLANA;41
2018;02 Febrero;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";EL ORO;5
2018;09 Septiembre;P;ENSEÑANZA.;EL ORO;26
2018;10 Octubre;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;EL ORO;11
2018;10 Octubre;S;OTRAS ACTIVIDADES DE SERVICIOS.;CHIMBORAZO;33
2018;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;47
2018;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;LOS RIOS;23
2018;10 Octubre;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";EL ORO;1
2018;09 Septiembre;F;CONSTRUCCIÓN.;EL ORO;94
2018;12 Diciembre;P;ENSEÑANZA.;EL ORO;17
2018;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;LOS RIOS;32
2018;05 Mayo;L;ACTIVIDADES INMOBILIARIAS.;LOJA;14
2018;11 Noviembre;P;ENSEÑANZA.;EL ORO;15
2018;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;25
2018;02 Febrero;F;CONSTRUCCIÓN.;CHIMBORAZO;13
2018;09 Septiembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;NAPO;2
2018;12 Diciembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SUCUMBIOS;23
2018;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;GUAYAS;99
2018;06 Junio;F;CONSTRUCCIÓN.;SANTO DOMINGO DE LOS TSACHILAS;18
2018;11 Noviembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;EL ORO;18
2018;07 Julio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;1549
2018;10 Octubre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;103
2018;06 Junio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ESMERALDAS;16
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;77
2018;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;SUCUMBIOS;8
2018;01 Enero;V;SIN ACTIVIDAD ECONOMICA - CIIU;ESMERALDAS;3
2018;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MANABI;369
2018;07 Julio;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;ESMERALDAS;9
2018;09 Septiembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;ESMERALDAS;81
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;439
2018;10 Octubre;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";GUAYAS;77
2018;09 Septiembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTA ELENA;34
2018;01 Enero;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;SANTA ELENA;1
2018;02 Febrero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";GUAYAS;2
2018;06 Junio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTA ELENA;12
2018;08 Agosto;C;INDUSTRIAS MANUFACTURERAS.;MANABI;2441
2018;12 Diciembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;GUAYAS;497
2018;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GUAYAS;68
2018;05 Mayo;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;GUAYAS;3
2018;12 Diciembre;C;INDUSTRIAS MANUFACTURERAS.;SANTA ELENA;30
2018;11 Noviembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;859
2018;11 Noviembre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;LOS RIOS;21
2018;07 Julio;D;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.;GUAYAS;13
2018;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GALAPAGOS;4
2018;10 Octubre;L;ACTIVIDADES INMOBILIARIAS.;SANTA ELENA;9
2018;12 Diciembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTA ELENA;24
2018;04 Abril;F;CONSTRUCCIÓN.;GUAYAS;93
2018;07 Julio;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;GUAYAS;1
2018;10 Octubre;L;ACTIVIDADES INMOBILIARIAS.;LOS RIOS;14
2018;11 Noviembre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CHIMBORAZO;12
2018;12 Diciembre;L;ACTIVIDADES INMOBILIARIAS.;SANTA ELENA;7
2018;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;SANTA ELENA;6
2018;09 Septiembre;P;ENSEÑANZA.;ESMERALDAS;9
2018;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;SANTO DOMINGO DE LOS TSACHILAS;13
2018;06 Junio;C;INDUSTRIAS MANUFACTURERAS.;ESMERALDAS;15
2018;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;ESMERALDAS;31
2018;07 Julio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;64
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;33
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;40
2018;09 Septiembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTO DOMINGO DE LOS TSACHILAS;106
2018;10 Octubre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MORONA SANTIAGO;30
2018;09 Septiembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;TUNGURAHUA;44
2018;11 Noviembre;F;CONSTRUCCIÓN.;SANTA ELENA;13
2018;12 Diciembre;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;GUAYAS;7
2018;09 Septiembre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;9
2018;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CAÑAR;200
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;50
2018;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ORELLANA;41
2018;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;50
2018;11 Noviembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SANTA ELENA;47
2018;09 Septiembre;L;ACTIVIDADES INMOBILIARIAS.;MANABI;49
2018;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;448
2018;06 Junio;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;SANTA ELENA;3
2018;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;MANABI;30
2018;12 Diciembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;SANTA ELENA;13
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MANABI;186
2018;11 Noviembre;C;INDUSTRIAS MANUFACTURERAS.;SANTA ELENA;42
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GALAPAGOS;5
2018;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTA ELENA;13
2018;11 Noviembre;P;ENSEÑANZA.;SANTA ELENA;12
2018;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;44
2018;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ESMERALDAS;11
2018;01 Enero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CAÑAR;5
2018;08 Agosto;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;SANTA ELENA;33
2018;03 Marzo;F;CONSTRUCCIÓN.;SANTA ELENA;9
2018;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;SANTA ELENA;2
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PASTAZA;14
2018;11 Noviembre;J;INFORMACIÓN Y COMUNICACIÓN.;PICHINCHA;48
2018;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";GALAPAGOS;12
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;42
2018;08 Agosto;C;INDUSTRIAS MANUFACTURERAS.;SUCUMBIOS;108
2018;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;IMBABURA;53
2018;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;IMBABURA;95
2018;08 Agosto;P;ENSEÑANZA.;LOJA;26
2018;08 Agosto;F;CONSTRUCCIÓN.;ZAMORA CHINCHIPE;98
2018;05 Mayo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;ZAMORA CHINCHIPE;1
2018;07 Julio;L;ACTIVIDADES INMOBILIARIAS.;LOJA;58
2018;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOJA;30
2018;10 Octubre;J;INFORMACIÓN Y COMUNICACIÓN.;LOJA;11
2018;12 Diciembre;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;LOJA;1
2018;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOJA;71
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ZAMORA CHINCHIPE;5
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;LOJA;24
2018;11 Noviembre;P;ENSEÑANZA.;LOJA;16
2018;05 Mayo;J;INFORMACIÓN Y COMUNICACIÓN.;LOJA;9
2018;03 Marzo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";PICHINCHA;7
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;ZAMORA CHINCHIPE;5
2018;07 Julio;J;INFORMACIÓN Y COMUNICACIÓN.;ZAMORA CHINCHIPE;7
2018;07 Julio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SUCUMBIOS;118
2018;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOJA;58
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOJA;45
2018;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;IMBABURA;2
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;IMBABURA;41
2018;05 Mayo;V;SIN ACTIVIDAD ECONOMICA - CIIU;IMBABURA;1
2018;09 Septiembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;IMBABURA;17
2018;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;IMBABURA;24
2018;09 Septiembre;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;EL ORO;1
2018;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;ZAMORA CHINCHIPE;3
2018;05 Mayo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;PICHINCHA;57
2018;12 Diciembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ZAMORA CHINCHIPE;79
2018;04 Abril;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;LOJA;9
2018;11 Noviembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;28
2018;09 Septiembre;L;ACTIVIDADES INMOBILIARIAS.;MORONA SANTIAGO;5
2018;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;MANABI;18
2018;01 Enero;C;INDUSTRIAS MANUFACTURERAS.;IMBABURA;33
2018;09 Septiembre;J;INFORMACIÓN Y COMUNICACIÓN.;IMBABURA;2
2018;04 Abril;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;IMBABURA;1
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SUCUMBIOS;51
2018;08 Agosto;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GALAPAGOS;18
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;MANABI;156
2018;02 Febrero;P;ENSEÑANZA.;MANABI;33
2018;04 Abril;P;ENSEÑANZA.;MANABI;45
2018;08 Agosto;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;MANABI;2
2018;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;MANABI;56
2018;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;40
2018;11 Noviembre;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;MANABI;1
2018;09 Septiembre;P;ENSEÑANZA.;MANABI;61
2018;08 Agosto;P;ENSEÑANZA.;MANABI;180
2018;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;135
2018;09 Septiembre;F;CONSTRUCCIÓN.;MANABI;103
2018;11 Noviembre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;MANABI;44
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;75
2018;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;54
2018;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;LOS RIOS;13
2018;08 Agosto;F;CONSTRUCCIÓN.;SANTO DOMINGO DE LOS TSACHILAS;372
2018;05 Mayo;F;CONSTRUCCIÓN.;LOS RIOS;7
2018;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SANTO DOMINGO DE LOS TSACHILAS;39
2018;07 Julio;J;INFORMACIÓN Y COMUNICACIÓN.;GALAPAGOS;4
2018;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;44
2018;02 Febrero;P;ENSEÑANZA.;LOS RIOS;11
2018;04 Abril;F;CONSTRUCCIÓN.;LOS RIOS;12
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";NAPO;17
2018;09 Septiembre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;LOS RIOS;21
2018;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ZAMORA CHINCHIPE;9
2018;04 Abril;V;SIN ACTIVIDAD ECONOMICA - CIIU;PICHINCHA;4
2018;03 Marzo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";MANABI;16
2018;11 Noviembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;BOLIVAR;191
2018;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;LOJA;13
2018;12 Diciembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;LOJA;23
2018;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;SUCUMBIOS;10
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;MORONA SANTIAGO;25
2018;07 Julio;S;OTRAS ACTIVIDADES DE SERVICIOS.;NAPO;133
2018;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;32
2018;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;PASTAZA;4
2018;08 Agosto;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;PASTAZA;12
2018;12 Diciembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;NAPO;30
2018;02 Febrero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;NAPO;4
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;10
2018;07 Julio;J;INFORMACIÓN Y COMUNICACIÓN.;PASTAZA;3
2018;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;PICHINCHA;106
2018;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;PASTAZA;4
2018;10 Octubre;L;ACTIVIDADES INMOBILIARIAS.;PASTAZA;5
2018;08 Agosto;H;TRANSPORTE Y ALMACENAMIENTO.;PASTAZA;22
2018;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";NAPO;23
2018;01 Enero;F;CONSTRUCCIÓN.;PASTAZA;14
2018;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;MORONA SANTIAGO;11
2018;11 Noviembre;F;CONSTRUCCIÓN.;MORONA SANTIAGO;26
2018;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTO DOMINGO DE LOS TSACHILAS;41
2018;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;SUCUMBIOS;14
2018;12 Diciembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;NAPO;8
2018;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;16
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SUCUMBIOS;47
2018;10 Octubre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;NAPO;3
2018;09 Septiembre;H;TRANSPORTE Y ALMACENAMIENTO.;MORONA SANTIAGO;7
2018;05 Mayo;O;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.";MORONA SANTIAGO;1
2018;02 Febrero;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;MORONA SANTIAGO;1
2018;09 Septiembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;MANABI;1
2018;08 Agosto;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";TUNGURAHUA;20
2018;08 Agosto;P;ENSEÑANZA.;NAPO;4
2018;11 Noviembre;H;TRANSPORTE Y ALMACENAMIENTO.;SANTO DOMINGO DE LOS TSACHILAS;26
2018;05 Mayo;J;INFORMACIÓN Y COMUNICACIÓN.;LOS RIOS;7
2018;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;SUCUMBIOS;7
2018;09 Septiembre;O;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.";PICHINCHA;7
2018;11 Noviembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MORONA SANTIAGO;22
2018;11 Noviembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;6
2018;07 Julio;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;PICHINCHA;72
2018;07 Julio;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";PICHINCHA;22
2018;01 Enero;F;CONSTRUCCIÓN.;ORELLANA;6
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;SANTO DOMINGO DE LOS TSACHILAS;12
2018;03 Marzo;O;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.";SUCUMBIOS;1
2018;04 Abril;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;SUCUMBIOS;7
2018;08 Agosto;P;ENSEÑANZA.;TUNGURAHUA;29
2018;06 Junio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;TUNGURAHUA;27
2018;11 Noviembre;H;TRANSPORTE Y ALMACENAMIENTO.;ORELLANA;13
2018;06 Junio;P;ENSEÑANZA.;TUNGURAHUA;14
2018;07 Julio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;TUNGURAHUA;39
2018;11 Noviembre;C;INDUSTRIAS MANUFACTURERAS.;TUNGURAHUA;65
2018;06 Junio;F;CONSTRUCCIÓN.;TUNGURAHUA;12
2018;11 Noviembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;TUNGURAHUA;9
2018;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;TUNGURAHUA;29
2018;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;TUNGURAHUA;5
2018;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;PASTAZA;8
2018;03 Marzo;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;TUNGURAHUA;3
2018;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;TUNGURAHUA;16
2018;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;TUNGURAHUA;37
2018;05 Mayo;P;ENSEÑANZA.;LOS RIOS;12
2018;10 Octubre;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;ESMERALDAS;3
2018;10 Octubre;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;SANTA ELENA;2
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;IMBABURA;14
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";GALAPAGOS;7
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ZAMORA CHINCHIPE;36
